"Korea, Dem. People’s Rep.",PRK,71.91,72.095
Portugal,PRT,81.42439024,81.32439024
Paraguay,PRY,73.992,74.131
West Bank and Gaza,PSE,73.74,73.895
Pacific island small states,PSS,69.77428378,69.92905797
Post-demographic dividend,PST,80.59844147,80.659892
French Polynesia,PYF,77.251,77.462
Qatar,QAT,79.981,80.1
Romania,ROU,75.3097561,75.35853659
Russian Federation,RUS,72.43195122,72.65731707
Rwanda,RWA,68.341,68.7
South Asia,SAS,69.1713119,69.41224765
Saudi Arabia,SAU,74.874,74.998
Sudan,SDN,64.881,65.095
Senegal,SEN,67.38,67.665
Singapore,SGP,83.09512195,83.14634146
Solomon Islands,SLB,72.645,72.835
Sierra Leone,SLE,53.895,54.309
El Salvador,SLV,72.872,73.096
San Marino,SMR,,
Somalia,SOM,56.709,57.068
Serbia,SRB,75.53902439,75.8902439
Sub-Saharan Africa (excluding high income),SSA,60.86233564,61.25653313
South Sudan,SSD,57.365,57.604
Sub-Saharan Africa,SSF,60.88000237,61.27301465
Small states,SST,69.27907473,69.54113266
Sao Tome and Principe,STP,69.933,70.17
Suriname,SUR,71.463,71.57
Slovak Republic,SVK,77.16585366,77.26585366
Slovenia,SVN,81.02926829,81.37804878
Sweden,SWE,82.4097561,82.55853659
Eswatini,SWZ,58.319,59.401
Sint Maarten (Dutch part),SXM,,
Seychelles,SYC,74.3,72.84146341
Syrian Arab Republic,SYR,70.967,71.779
Turks and Caicos Islands,TCA,,
Chad,TCD,53.712,53.977
East Asia & Pacific (IDA & IBRD countries),TEA,75.0333589,75.24922911
Europe & Central Asia (IDA & IBRD countries),TEC,73.89459647,74.0376029
Togo,TGO,60.489,60.76
Thailand,THA,76.683,76.931
Tajikistan,TJK,70.647,70.879
Turkmenistan,TKM,67.956,68.073
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.19431505,75.35738078
Timor-Leste,TLS,69.007,69.26
Middle East & North Africa (IDA & IBRD countries),TMN,73.39013107,73.58364281
Tonga,TON,70.701,70.801
South Asia (IDA & IBRD),TSA,69.1713119,69.41224765
Sub-Saharan Africa (IDA & IBRD countries),TSS,60.88000237,61.27301465
Trinidad and Tobago,TTO,73.245,73.38
Tunisia,TUN,76.31,76.505
Turkey,TUR,77.161,77.437
Tuvalu,TUV,,
Tanzania,TZA,64.479,65.015
Uganda,UGA,62.516,62.973
Ukraine,UKR,71.78097561,71.58268293
Upper middle income,UMC,75.11849548,75.32897721
Uruguay,URY,77.632,77.77
United States,USA,78.53902439,78.53902439
Uzbekistan,UZB,71.388,71.573
St. Vincent and the Grenadines,VCT,72.3,72.415
"Venezuela, RB",VEN,72.246,72.128
British Virgin Islands,VGB,,
Virgin Islands (U.S.),VIR,79.4195122,79.56829268
Vietnam,VNM,75.241,75.317
Vanuatu,VUT,70.172,70.323
World,WLD,72.38557532,72.56327448
Samoa,WSM,73.046,73.187
Kosovo,XKX,71.94634146,72.19512195
"Yemen, Rep.",YEM,66.086,66.096
South Africa,ZAF,63.538,63.857
Zambia,ZMB,63.043,63.51
Zimbabwe,ZWE,60.812,61.195
